
Tem 28, 2018 01:02:47.53 NEW SESSION
Tem 28, 2018 01:02:47.53 [1:1:0728/010247.534584:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:02:47.53 [1:1:0728/010247.535181:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:03:26.17 [1:1:0728/010326.174232:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:03:26.17 [1:1:0728/010326.178490:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:03:57.67 [1:1:0728/010357.672391:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:03:57.67 [1:1:0728/010357.676743:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:04:25.27 [18918:18918:0728/010425.274192:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
Tem 28, 2018 01:04:25.31 [1:1:0728/010425.318886:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:04:25.32 [1:1:0728/010425.324688:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:05:03.92 [1:1:0728/010503.925752:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:05:03.93 [1:1:0728/010503.935982:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:06:32.78 [1:1:0728/010632.783081:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:06:32.78 [1:1:0728/010632.789797:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:39:46.11 [1:1:0728/013946.116582:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:39:46.12 [1:1:0728/013946.123889:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:40:28.11 [1:1:0728/014028.113693:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:40:28.11 [1:1:0728/014028.119808:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
Tem 28, 2018 01:40:51.50 [22226:22226:0728/014051.508776:ERROR:in_progress_cache_impl.cc(188)] Cache is not initialized, cannot RetrieveEntry.
Tem 28, 2018 01:40:51.59 [1:1:0728/014051.595754:ERROR:text_encoding_registry.cc(138)] alias ISO-8859-8-I maps to ISO-8859-8-I already, but someone is trying to make it map to ISO-8859-8
